sample_id,gas_ppm,temperature,pressure,humidity,wind_speed,wind_direction,vibration,air_quality,flow_rate,hour_of_day,hazard_level
29,340.4,70.9,7.9,78.1,12.0,131.6,9.58,187.1,111.5,7,HIGH
30,266.2,39.9,6.75,79.0,16.1,58.5,5.53,161.7,90.8,18,MODERATE
31,153.3,36.9,4.63,51.5,0,62.4,1.98,45.1,105.5,2,LOW
32,186.3,39.6,4.95,48.3,8.2,308.3,5.35,60.3,131.9,2,LOW
33,146.0,30.0,5.03,48.9,8.3,139.7,3.66,65.8,156.7,23,LOW
34,537.5,92.4,9.31,81.5,22.1,139.2,18.77,306.1,58.8,15,CRITICAL
35,495.8,97.7,10.02,83.8,26.3,122.4,18.75,336.6,57.9,2,CRITICAL
36,290.6,59.8,6.96,80.1,25.8,127.4,9.78,219.2,85.2,17,HIGH
37,426.5,66.8,8.26,70.3,22.3,134.2,9.16,276.9,101.0,4,HIGH
38,178.3,46.4,6.92,52.4,15.1,233.4,5.1,129.8,63.2,4,MODERATE
39,468.5,68.9,8.14,76.3,24.8,127.7,11.61,229.6,98.1,21,HIGH
40,174.6,30.6,4.73,62.9,1.9,326.3,4.57,74.7,110.0,15,LOW
41,249.3,47.7,6.39,55.4,14.1,302.6,6.28,140.0,118.8,17,MODERATE
42,234.0,51.8,6.21,62.8,8.9,182.0,7.5,166.3,124.2,5,MODERATE
43,336.1,43.9,6.72,63.5,20.8,115.3,4.82,115.0,62.5,8,MODERATE
44,124.2,29.2,5.06,54.7,13.6,111.4,3.57,89.6,136.1,16,LOW
45,309.1,55.6,6.12,61.4,10.9,203.6,4.31,138.5,103.3,19,MODERATE
46,261.0,52.2,4.73,54.8,11.6,175.6,7.02,137.6,135.3,13,MODERATE
47,149.4,31.4,4.36,41.1,9.6,241.8,1.47,94.2,130.0,6,LOW
48,480.1,101.3,9.08,87.9,24.3,176.2,20.51,312.5,74.7,17,CRITICAL
49,275.8,60.9,5.62,67.5,16.2,39.3,4.13,79.0,99.6,23,MODERATE
50,161.5,40.5,5.03,65.0,3.9,310.5,2.99,86.9,120.8,22,LOW
51,296.8,71.9,7.82,79.9,10.8,140.1,10.77,171.5,92.3,6,HIGH
52,279.9,47.7,7.43,59.4,10.2,141.9,4.87,116.0,76.3,22,MODERATE
53,242.3,50.5,4.83,61.2,12.2,221.2,8.91,151.3,92.6,9,MODERATE
54,117.9,35.9,4.78,42.2,15.1,132.8,2.69,99.7,121.3,12,LOW
55,408.8,75.1,9.96,79.8,17.4,106.8,6.18,217.1,73.7,21,HIGH
56,97.3,29.8,4.57,65.5,10.6,284.1,2.13,75.0,160.6,20,LOW
57,170.4,30.8,5.63,48.9,6.0,130.7,3.93,103.6,104.0,11,LOW
58,156.9,29.7,4.81,47.3,5.4,62.4,0.5,85.3,130.9,14,LOW
59,246.6,51.9,6.36,56.2,9.9,222.3,6.92,181.1,137.4,16,MODERATE
60,168.0,29.2,4.77,44.0,8.8,87.3,0.26,78.9,111.4,14,LOW
61,159.2,24.7,4.97,42.3,6.0,121.2,3.05,66.0,136.4,3,LOW
62,173.2,36.9,4.71,71.5,2.7,334.6,1.97,80.6,115.9,7,LOW
63,142.6,32.2,5.47,54.0,9.0,72.6,2.59,70.2,120.2,7,LOW
64,531.7,98.2,7.45,83.8,22.9,154.0,16.5,359.0,58.2,2,CRITICAL
65,73.1,38.3,4.66,39.4,8.0,323.8,3.83,41.8,128.5,10,LOW
66,540.8,83.1,9.8,83.7,22.3,147.7,21.54,325.5,67.5,0,CRITICAL
67,231.6,43.2,6.7,55.2,12.3,141.8,7.46,138.3,125.8,18,MODERATE
68,229.6,47.8,5.61,58.4,13.5,240.6,4.66,151.7,132.1,17,MODERATE
69,526.5,103.3,8.46,75.8,16.9,164.9,18.31,318.3,67.8,7,CRITICAL
70,205.0,69.6,6.28,62.9,14.9,218.5,6.95,110.2,114.4,18,MODERATE
71,196.5,39.7,5.64,47.9,5.0,354.5,2.87,113.1,132.9,7,LOW
72,226.5,48.9,6.84,57.3,15.4,354.3,6.04,145.7,130.4,0,MODERATE
73,115.4,25.5,4.9,43.0,7.6,63.5,0.3,74.2,121.5,2,LOW
74,160.9,42.2,5.45,49.8,4.7,30.7,3.0,77.4,114.8,22,LOW
75,144.5,29.1,5.27,51.1,8.5,68.6,2.97,66.8,114.3,20,LOW
76,514.3,90.5,10.05,68.7,28.4,159.9,12.85,309.7,61.3,1,CRITICAL
77,309.6,64.2,6.61,84.3,22.7,195.9,13.17,170.5,77.1,7,HIGH
78,154.7,26.9,5.29,50.1,6.9,260.0,3.23,78.8,149.7,2,LOW
79,329.6,65.4,6.75,60.3,26.8,95.3,8.55,256.1,58.7,1,HIGH
80,280.3,38.7,6.95,44.6,5.0,136.4,8.44,129.2,98.3,10,MODERATE
81,447.3,93.6,8.04,67.6,15.9,93.5,11.3,153.0,93.3,2,HIGH
82,480.3,79.2,7.12,75.7,26.1,207.8,7.99,227.9,82.6,16,HIGH
83,282.3,53.1,4.78,59.2,12.8,65.3,7.66,91.9,89.0,7,MODERATE
84,447.1,63.2,7.96,59.7,28.4,132.8,11.29,216.3,94.1,8,HIGH
85,189.2,50.0,5.8,48.5,15.9,151.8,6.99,134.5,98.3,21,MODERATE
86,329.0,49.6,5.27,58.8,14.0,222.6,4.32,153.2,69.7,15,MODERATE
87,437.2,58.8,7.32,79.5,18.6,177.7,12.86,255.0,100.9,6,HIGH
88,126.4,36.2,4.39,51.5,10.5,12.2,3.13,58.8,140.8,17,LOW
89,248.4,55.5,6.22,62.2,15.8,138.7,6.69,118.4,96.3,4,MODERATE
90,364.5,74.2,7.12,80.8,13.5,137.5,9.68,260.6,87.9,23,HIGH
91,551.3,83.1,9.19,86.4,24.3,156.3,15.97,362.3,88.0,18,CRITICAL
92,235.5,46.4,7.07,74.6,9.9,146.4,5.94,96.4,86.6,18,MODERATE
93,109.9,29.2,4.99,53.9,12.7,78.6,2.0,72.5,112.6,15,LOW
94,342.4,44.7,6.9,75.0,5.7,185.9,5.46,115.0,116.1,7,MODERATE
95,121.3,30.5,4.93,49.0,4.5,273.0,2.17,82.1,116.7,15,LOW
96,275.3,51.6,5.29,74.4,19.2,131.0,5.72,137.1,111.7,13,MODERATE
97,276.3,66.1,6.09,55.6,6.5,121.5,6.43,174.9,94.6,6,MODERATE
98,146.7,32.9,5.48,72.2,6.4,296.9,4.32,58.0,100.4,3,LOW
99,528.5,93.4,9.21,86.7,25.7,143.1,18.43,335.1,73.6,3,CRITICAL
100,170.3,40.7,4.74,55.8,6.9,267.7,2.17,80.5,119.1,21,LOW
101,381.4,84.8,7.65,72.3,11.2,174.9,12.94,285.7,80.4,13,HIGH
102,146.6,34.2,5.63,51.2,8.8,227.7,3.18,81.1,122.2,11,LOW
103,233.8,47.1,6.3,47.5,15.9,141.6,6.76,139.2,94.5,13,MODERATE
104,136.1,22.8,5.29,60.6,2.9,359.0,2.59,53.3,92.0,13,LOW
105,267.6,46.0,5.59,67.7,13.0,134.9,3.94,151.8,118.0,14,MODERATE
106,137.0,42.2,4.57,39.8,5.9,354.2,3.9,71.9,114.3,23,LOW
107,346.5,72.7,7.32,78.7,16.3,165.2,10.91,219.4,81.5,1,HIGH
108,161.2,36.6,5.18,56.9,5.2,11.7,3.32,77.9,135.6,21,LOW
109,246.4,61.5,5.79,76.4,11.8,65.5,6.76,113.0,121.8,20,MODERATE
110,120.4,30.8,4.24,48.4,0.7,216.0,4.02,58.6,130.6,20,LOW
111,529.2,91.9,8.6,80.7,22.4,183.0,16.95,335.7,82.8,3,CRITICAL
112,113.7,33.2,4.89,51.3,7.5,47.8,2.27,102.0,134.6,1,LOW
113,122.9,35.9,5.56,59.4,8.2,255.3,2.35,80.9,135.2,12,LOW
114,122.6,38.4,5.05,59.6,7.4,231.7,4.32,101.0,128.0,23,LOW
115,120.5,30.6,4.87,55.4,9.6,237.1,2.43,119.5,123.6,10,LOW
116,112.0,36.8,4.55,56.5,6.5,11.0,3.21,71.1,100.0,3,LOW
117,400.0,78.5,7.11,83.0,11.9,86.4,11.67,246.6,110.3,7,HIGH
118,357.1,82.8,7.47,70.8,22.4,171.1,6.27,261.7,105.7,6,HIGH
119,121.2,35.0,5.2,54.1,6.3,349.7,2.33,79.9,120.6,6,LOW
120,90.5,32.7,4.94,60.5,1.3,213.5,3.24,69.6,108.2,17,LOW
121,458.2,99.0,8.67,83.7,23.8,144.5,17.15,281.5,75.0,14,CRITICAL
122,125.2,25.2,4.83,64.0,10.6,60.1,3.85,93.3,143.2,4,LOW
123,137.3,34.8,5.52,49.6,9.1,40.3,2.93,74.4,135.9,13,LOW
124,252.1,55.9,6.15,62.6,4.0,253.3,7.19,155.0,47.1,5,MODERATE
125,202.7,32.3,5.44,43.7,9.8,349.2,1.95,79.1,115.2,8,LOW
126,292.9,48.7,6.53,54.7,11.9,340.3,8.43,137.7,96.0,14,MODERATE
127,252.7,51.6,6.47,53.4,14.7,92.8,9.76,110.7,110.9,7,MODERATE
128,170.2,31.7,5.14,63.5,9.7,145.5,3.36,92.8,106.6,2,LOW
129,273.9,55.6,6.02,73.0,11.4,190.0,6.15,130.4,83.1,14,MODERATE
130,308.0,87.9,6.82,65.1,7.2,119.4,7.03,267.5,100.1,17,HIGH
131,119.4,44.3,5.39,49.4,0.5,9.2,5.29,57.6,102.0,3,LOW
132,452.3,53.8,9.36,77.1,21.4,168.0,10.24,223.7,82.2,1,HIGH
133,156.6,32.8,4.62,45.0,5.0,110.6,3.18,95.9,138.8,20,LOW
134,447.2,86.1,9.66,77.1,23.1,146.0,15.06,323.2,51.7,17,CRITICAL
135,349.9,75.2,6.23,75.1,17.9,167.1,11.67,257.7,86.9,0,HIGH
136,127.1,33.6,5.22,52.4,8.1,82.1,3.5,55.6,142.2,2,LOW
137,131.0,31.6,5.3,58.0,5.9,98.9,2.71,93.7,114.9,7,LOW
138,148.4,28.8,5.86,42.5,8.9,265.3,2.65,81.8,143.4,5,LOW
139,188.7,25.3,5.11,63.7,2.9,178.8,2.2,99.6,150.2,13,LOW
140,123.4,35.8,5.65,49.0,7.4,30.8,1.9,64.3,116.2,15,LOW
141,370.1,64.4,7.53,67.6,21.5,186.2,11.33,226.2,116.8,15,HIGH
142,104.8,26.8,5.28,67.6,7.2,21.7,4.73,83.4,126.1,6,LOW
143,531.6,86.5,9.12,74.9,23.6,116.9,15.53,357.1,75.9,12,CRITICAL
144,158.3,27.5,4.87,61.7,8.4,187.5,2.25,78.4,117.1,1,LOW
145,150.9,35.5,5.23,43.4,5.3,129.6,1.16,82.6,108.4,5,LOW
146,75.4,34.9,6.0,52.0,10.5,357.2,2.62,82.0,118.4,12,LOW
147,175.0,35.8,5.24,47.9,7.3,145.1,3.54,61.5,125.4,0,LOW
148,249.6,58.7,6.48,61.8,15.3,291.2,7.62,130.3,78.8,12,MODERATE
149,108.0,31.5,4.76,50.5,8.2,347.7,3.53,48.0,115.3,8,LOW
150,53.4,34.5,5.11,45.7,9.6,234.1,1.72,71.8,147.4,14,LOW
